lag_bp	CHM13_REP2	CHM13_REP1	HG002_T2T	RPE1_CENPA	RPE1_CENPB
574	146	151	77	67	0
575	127	147	68	75	0
576	142	155	78	65	0
577	137	149	68	55	0
578	151	138	87	68	0
579	114	141	66	51	0
580	125	142	59	64	0
581	142	136	53	52	0
582	116	129	56	59	0
583	135	126	75	60	0
584	124	142	77	68	0
585	132	152	57	71	0
586	117	152	76	49	0
587	115	150	58	76	0
588	130	118	75	62	0
589	126	129	73	59	0
590	120	110	66	68	0
591	150	122	68	65	0
592	114	136	56	53	0
593	114	146	78	48	0
594	122	125	74	62	0
595	107	130	74	60	0
596	94	155	57	79	0
597	118	138	59	49	0
598	96	112	84	51	0
599	115	112	74	50	0
600	128	127	62	63	0
