fragment_length_bp	CHM13_REP2	CHM13_REP1	HG002_T2T	RPE1_CENPA	RPE1_CENPB
307	0	0	2	2	1
308	0	0	5	4	2
309	0	0	5	1	1
310	0	0	3	2	1
311	0	0	5	2	1
312	0	0	7	1	2
313	0	1	4	0	1
314	0	0	3	1	0
315	0	0	3	3	1
316	0	0	9	0	2
317	0	0	4	2	3
318	0	0	6	1	3
319	0	0	1	1	0
320	0	0	7	5	6
321	0	0	8	2	1
322	0	0	4	4	0
323	0	0	5	2	1
324	0	0	6	0	0
325	0	0	4	2	1
326	0	0	3	0	2
327	0	0	4	4	2
328	0	0	4	1	3
329	0	0	6	1	3
330	0	0	6	0	1
331	0	0	6	3	1
332	0	0	6	4	2
333	0	0	4	2	4
334	0	0	4	3	3
335	0	0	6	3	1
336	0	0	2	3	3
337	0	1	4	1	2
338	0	0	7	0	6
339	0	0	3	0	1
340	0	0	13	3	3
341	0	0	3	0	1
342	0	0	3	2	1
343	0	0	2	0	1
344	0	0	6	3	2
345	0	0	7	2	1
346	0	0	3	3	0
347	0	0	2	1	1
348	0	0	5	2	2
349	0	0	2	1	0
350	0	0	4	3	0
351	0	0	2	3	1
352	0	0	2	1	3
353	0	0	2	3	3
354	0	0	1	1	0
355	0	0	0	2	1
356	0	0	6	1	1
357	0	0	6	3	1
358	0	0	4	2	3
359	0	0	4	1	2
360	0	0	2	0	1
361	0	0	5	0	1
362	0	0	7	1	1
363	0	0	2	1	1
364	0	0	3	2	3
365	0	0	3	3	2
366	0	0	2	2	2
367	0	0	2	3	1
368	0	0	8	4	2
369	0	0	5	2	1
370	0	0	11	1	2
371	0	0	4	2	0
372	0	0	1	1	2
373	0	0	0	1	1
374	0	0	0	0	1
375	0	0	0	0	5
376	0	0	1	1	2
377	0	0	1	1	0
378	0	0	2	2	1
379	0	0	0	0	0
380	0	0	0	2	2
381	0	0	0	3	3
382	0	0	0	0	1
383	0	0	0	0	1
384	0	0	0	0	4
385	0	0	0	1	0
386	0	0	0	0	0
387	0	0	0	0	0
388	0	0	0	1	1
389	0	0	2	3	1
390	0	0	3	1	1
391	0	0	0	2	0
392	0	0	0	2	1
393	0	0	0	1	1
394	0	0	0	0	4
395	0	0	0	0	2
396	0	0	0	3	0
397	0	0	0	2	0
398	0	0	0	1	3
399	0	0	0	0	1
400	0	0	1	0	1
401	0	0	1	3	2
402	0	0	0	1	0
403	0	0	0	0	0
404	0	0	0	0	2
405	0	0	0	1	2
406	0	0	0	0	1
407	0	0	0	1	2
408	0	0	0	0	1
409	0	0	0	0	2
410	0	0	0	1	2
411	0	0	2	2	1
412	0	0	2	1	1
413	0	0	0	1	0
414	0	0	0	0	3
415	0	0	0	0	0
416	0	0	0	0	0
417	0	0	0	0	0
418	0	0	0	0	0
419	0	0	0	1	0
420	0	0	2	1	1
421	0	0	1	1	1
422	0	0	0	1	1
423	0	0	0	0	1
424	0	0	0	0	0
425	0	0	0	0	0
426	0	0	0	0	0
427	0	0	0	2	0
428	0	0	0	1	3
429	0	0	0	0	0
430	0	0	0	1	1
431	0	0	0	0	3
432	0	0	0	0	0
433	0	0	0	1	1
434	0	0	0	1	0
435	0	0	0	0	0
436	0	0	0	0	2
437	0	0	0	0	0
438	0	0	0	0	0
439	0	0	0	1	0
440	0	0	1	0	0
441	0	0	1	1	1
442	0	0	0	0	0
443	0	0	0	1	1
444	0	0	0	1	0
445	0	0	0	0	0
446	0	0	0	0	1
447	0	0	0	0	0
448	0	0	0	1	0
449	0	0	0	0	0
450	0	0	0	0	1
451	0	0	1	0	1
452	0	0	0	0	0
453	0	0	0	0	1
454	0	0	0	0	0
455	0	0	0	0	0
456	0	0	0	0	2
457	0	0	0	0	0
458	0	0	0	0	0
459	0	0	0	0	0
460	0	0	0	0	1
461	0	0	0	1	0
462	0	0	0	0	1
463	0	0	0	0	0
464	0	0	0	0	1
465	0	0	0	0	0
466	0	0	1	2	1
467	0	0	0	1	0
468	0	0	0	0	0
469	0	0	0	1	1
470	0	0	0	3	0
471	0	0	0	0	1
472	0	0	0	0	1
473	0	0	0	0	0
474	0	0	0	0	3
475	0	0	1	0	1
476	0	0	0	0	1
477	0	0	0	1	1
478	0	0	1	0	1
479	0	0	0	0	0
480	0	0	0	1	0
481	0	0	0	0	1
482	0	0	0	2	0
483	0	0	0	0	3
484	0	0	0	0	1
485	0	0	0	0	0
486	0	0	0	0	1
487	0	0	0	0	0
488	0	0	0	0	1
489	0	0	1	0	3
490	0	0	0	0	0
491	0	0	0	1	2
492	0	0	0	0	0
493	0	0	0	1	0
494	0	0	0	1	2
495	0	0	0	1	0
496	0	0	0	0	0
497	0	0	0	0	0
498	0	0	0	0	0
499	0	0	0	1	2
500	0	0	0	0	0
